Date,Cases
26/03/2020,21
27/03/2020,34
28/03/2020,29
29/03/2020,31
30/03/2020,46
31/03/2020,34
1/04/2020,36
2/04/2020,39
3/04/2020,11
4/04/2020,20
5/04/2020,21
6/04/2020,17
7/04/2020,13
8/04/2020,9
9/04/2020,8
10/04/2020,13
11/04/2020,2
12/04/2020,0
13/04/2020,4
14/04/2020,2
15/04/2020,4
16/04/2020,4
17/04/2020,5
18/04/2020,8
19/04/2020,1
20/04/2020,3
21/04/2020,0
22/04/2020,1
23/04/2020,4
24/04/2020,3
25/04/2020,2
26/04/2020,1
27/04/2020,3
28/04/2020,2
29/04/2020,5
30/04/2020,1
1/05/2020,9
2/05/2020,10
3/05/2020,19
4/05/2020,13
5/05/2020,8
6/05/2020,15
7/05/2020,13
8/05/2020,11
9/05/2020,5
10/05/2020,1
11/05/2020,16
12/05/2020,5
13/05/2020,6
14/05/2020,12
15/05/2020,6
16/05/2020,2
17/05/2020,4
18/05/2020,6
19/05/2020,5
20/05/2020,5
21/05/2020,7
22/05/2020,6
23/05/2020,2
24/05/2020,2
25/05/2020,5
26/05/2020,8
27/05/2020,10
28/05/2020,6
29/05/2020,8
30/05/2020,8
31/05/2020,4
